,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.3,12,300,rank:map,0.3784581518475084
0,0.4,30,150,rank:ndcg,0.3781216331451767
0,0.3,15,110,rank:map,0.3780004794825044
0,0.4,20,300,rank:ndcg,0.3778900743421364
0,0.3,30,150,rank:pairwise,0.3777760487561551
0,0.4,15,300,rank:ndcg,0.3775509632054636
0,0.3,12,200,rank:ndcg,0.3774098141742905
0,0.4,15,150,rank:ndcg,0.37719554250481657
0,0.4,30,300,rank:ndcg,0.37718916779704703
0,0.3,20,200,rank:pairwise,0.3770645496907363
0,0.4,15,500,rank:ndcg,0.37702232083885373
0,0.3,30,110,rank:map,0.3770030363856332
0,0.3,20,500,rank:pairwise,0.3768853918255798
0,0.4,20,110,rank:ndcg,0.3767536247450537
0,0.4,8,300,rank:pairwise,0.3767045876142527
0,0.3,10,150,rank:pairwise,0.376652036557968
0,0.4,15,200,rank:ndcg,0.3766372103793357
0,0.3,8,500,rank:map,0.37656229066903824
0,0.3,12,500,rank:pairwise,0.37648872120917604
0,0.01,30,110,rank:pairwise,0.3763978555367061
0,0.3,10,300,rank:ndcg,0.3763571919264142
0,0.3,12,110,rank:ndcg,0.3763175969075472
0,0.4,20,500,rank:ndcg,0.3761342270314363
0,0.3,15,300,rank:pairwise,0.3761205098428824
0,0.3,10,300,rank:map,0.3759970981794091
0,0.4,30,110,rank:ndcg,0.3758577146893597
0,0.3,15,500,rank:pairwise,0.3757859394708287
0,0.4,10,500,rank:map,0.3756561641597401
0,0.3,20,150,rank:pairwise,0.37559565097077297
0,0.3,10,500,rank:map,0.3755229525310624
0,0.3,12,300,rank:pairwise,0.3753693963665161
0,0.3,30,110,rank:pairwise,0.3752634311159356
0,0.4,30,500,rank:pairwise,0.3752227335823544
0,0.4,10,110,rank:pairwise,0.3748483563630876
0,0.3,12,150,rank:ndcg,0.3746377257484629
0,0.4,15,110,rank:ndcg,0.3746075400180024
0,0.4,12,500,rank:ndcg,0.3745393905719599
0,0.3,15,200,rank:pairwise,0.3744898885414841
0,0.3,12,200,rank:map,0.374288421165797
0,0.3,10,500,rank:pairwise,0.3740079870015441
0,0.4,20,500,rank:pairwise,0.37394576123577655
0,0.4,30,300,rank:pairwise,0.3736115752692225
0,0.3,15,110,rank:ndcg,0.3735605889905652
0,0.4,15,500,rank:map,0.3734978161256397
0,0.4,30,200,rank:pairwise,0.3734523734959567
0,0.4,30,150,rank:pairwise,0.37338979125479305
0,0.4,10,150,rank:ndcg,0.37322693560876335
0,0.4,8,500,rank:pairwise,0.3729361845247784
0,0.4,10,500,rank:ndcg,0.37290778602185576
0,0.3,10,200,rank:pairwise,0.3726409728954518
0,0.4,10,200,rank:map,0.37235025944344136
0,0.3,10,300,rank:pairwise,0.372260204342243
0,0.4,8,500,rank:ndcg,0.3722537409752258
0,0.4,12,300,rank:ndcg,0.3720982670707953
0,0.4,15,300,rank:map,0.3718483028450176
0,0.4,10,200,rank:ndcg,0.3717919470062123
0,0.3,20,110,rank:pairwise,0.3716859323911586
0,0.3,15,150,rank:pairwise,0.3715823508437137
0,0.3,12,200,rank:pairwise,0.37149431072592337
0,0.4,10,300,rank:ndcg,0.3711944917935569
0,0.4,20,200,rank:pairwise,0.3710330480331888
0,0.4,20,300,rank:pairwise,0.37087238094986996
0,0.4,20,110,rank:pairwise,0.3708498369977945
0,0.3,12,110,rank:map,0.3707165902726229
0,0.4,15,200,rank:map,0.3707036477420256
0,0.4,12,200,rank:ndcg,0.3702006716267221
0,0.4,15,110,rank:map,0.3701916481396271
0,0.4,20,150,rank:pairwise,0.3701338767543765
0,0.3,15,110,rank:pairwise,0.3700943894982891
0,0.4,15,150,rank:map,0.3700902234989717
0,0.3,12,150,rank:map,0.3699274321047945
0,0.4,10,150,rank:pairwise,0.3697412461301211
0,0.4,12,500,rank:map,0.36973617486708493
0,0.4,30,110,rank:pairwise,0.3697235500289061
0,0.4,10,500,rank:pairwise,0.3693226758389104
0,0.4,12,300,rank:map,0.3690695043604313
0,0.4,10,300,rank:map,0.3685363090228429
0,0.4,10,300,rank:pairwise,0.3676778246717236
0,0.4,12,150,rank:ndcg,0.3676012920757575
0,0.4,8,500,rank:map,0.3674237375458094
0,0.4,12,110,rank:ndcg,0.3671728844976405
0,0.4,15,300,rank:pairwise,0.3668316791960883
0,0.4,15,500,rank:pairwise,0.36640142762033134
0,0.4,10,200,rank:pairwise,0.3661625224610915
0,0.3,12,150,rank:pairwise,0.36524712171963697
0,0.4,12,300,rank:pairwise,0.36454258290300695
0,0.3,12,110,rank:pairwise,0.36444038642933824
0,0.4,15,200,rank:pairwise,0.36424132442944496
0,0.4,15,150,rank:pairwise,0.3635197854061294
0,0.4,12,200,rank:map,0.3627562013060702
0,0.4,12,500,rank:pairwise,0.3619952907751721
0,0.4,12,200,rank:pairwise,0.3608729301551383
0,0.4,12,150,rank:map,0.35968893753421355
0,0.4,15,110,rank:pairwise,0.35866010520318103
0,0.4,12,150,rank:pairwise,0.3585052895802597
0,0.4,12,110,rank:map,0.3580857609089738
0,0.4,12,110,rank:pairwise,0.35507414080998795
