,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.05,10,300,rank:ndcg,0.4160751408357743
0,0.05,10,300,rank:pairwise,0.4160425252407456
0,0.05,10,200,rank:pairwise,0.415952796546296
0,0.025,6,110,rank:pairwise,0.41585740256596737
0,0.01,8,500,rank:ndcg,0.4158171636410751
0,0.05,8,110,rank:ndcg,0.4155636044210483
0,0.025,10,300,rank:map,0.4155454933693666
0,0.025,10,110,rank:pairwise,0.4154557255742423
0,0.4,6,110,rank:map,0.4152273171823349
0,0.1,10,110,rank:ndcg,0.4151606704863641
0,0.05,10,200,rank:map,0.41512439467207
0,0.01,10,150,rank:pairwise,0.4151015182364223
0,0.3,6,300,rank:pairwise,0.4149228243870172
0,0.01,6,200,rank:pairwise,0.4147271267042
0,0.05,10,500,rank:ndcg,0.4146711872101675
0,0.4,6,200,rank:ndcg,0.41447507929905664
0,0.025,8,200,rank:map,0.4144496450945503
0,0.05,10,110,rank:pairwise,0.4144085780281808
0,0.01,8,150,rank:pairwise,0.4143710632631584
0,0.1,10,150,rank:ndcg,0.4143198410867847
0,0.4,6,200,rank:pairwise,0.41397387706382704
0,0.01,10,110,rank:pairwise,0.4139162794532408
0,0.05,8,110,rank:map,0.4139110359779269
0,0.05,6,110,rank:ndcg,0.4138667685898574
0,0.05,6,110,rank:map,0.4138538976149815
0,0.01,6,500,rank:ndcg,0.4137837397168024
0,0.05,10,500,rank:map,0.4136171883286345
0,0.3,8,110,rank:ndcg,0.4136032827095166
0,0.025,8,200,rank:ndcg,0.41352291114943457
0,0.1,10,110,rank:pairwise,0.41331082547282005
0,0.025,6,200,rank:ndcg,0.4130144918764089
0,0.3,8,110,rank:map,0.4129753385327559
0,0.05,10,300,rank:map,0.4129093000173477
0,0.01,8,500,rank:map,0.41289777860871535
0,0.4,6,150,rank:map,0.4127875845200665
0,0.05,10,150,rank:map,0.4126958316108688
0,0.025,10,200,rank:ndcg,0.4125361956428881
0,0.1,10,150,rank:pairwise,0.4125029949160289
0,0.3,6,500,rank:map,0.4124783853821665
0,0.1,10,200,rank:ndcg,0.4123612566998318
0,0.01,8,110,rank:pairwise,0.4122453303155573
0,0.025,6,200,rank:map,0.4120130232476692
0,0.05,10,150,rank:ndcg,0.4119750499976225
0,0.4,6,200,rank:map,0.4118702520748155
0,0.025,12,300,rank:map,0.4114771765403881
0,0.01,6,500,rank:map,0.4114686400930873
0,0.3,6,500,rank:pairwise,0.41139888248852696
0,0.01,10,500,rank:map,0.411294761363481
0,0.025,8,150,rank:map,0.4109377462791961
0,0.025,12,300,rank:ndcg,0.41087204112722864
0,0.025,10,200,rank:map,0.41082266798565403
0,0.01,10,500,rank:ndcg,0.4106129959485022
0,0.05,10,110,rank:ndcg,0.4102298571762927
0,0.1,10,200,rank:pairwise,0.4101699571232355
0,0.01,12,500,rank:ndcg,0.41011403782050654
0,0.025,12,200,rank:pairwise,0.4100211303688369
0,0.025,8,150,rank:ndcg,0.4099561369204282
0,0.025,6,150,rank:ndcg,0.40995257402933893
0,0.05,10,110,rank:map,0.4098293881314025
0,0.01,8,300,rank:ndcg,0.4094928214104467
0,0.01,6,150,rank:pairwise,0.40947318262177584
0,0.05,10,500,rank:pairwise,0.4094157903139252
0,0.025,10,150,rank:ndcg,0.4092714439539453
0,0.3,6,500,rank:ndcg,0.4092694322221172
0,0.1,10,200,rank:map,0.4091833486090513
0,0.4,6,300,rank:ndcg,0.4091086777430887
0,0.025,12,300,rank:pairwise,0.4088931115671228
0,0.025,12,500,rank:map,0.4088670226622471
0,0.01,12,500,rank:pairwise,0.4087284949094509
0,0.1,10,110,rank:map,0.4086075295399357
0,0.025,12,500,rank:ndcg,0.408570391054208
0,0.3,8,150,rank:ndcg,0.4084756706040277
0,0.025,12,150,rank:pairwise,0.4080277625343472
0,0.1,10,300,rank:ndcg,0.40767639100611774
0,0.05,12,150,rank:ndcg,0.4076339372595904
0,0.05,12,200,rank:ndcg,0.40760554021087625
0,0.01,12,150,rank:pairwise,0.40749192317969457
0,0.025,6,150,rank:map,0.4074608628599248
0,0.1,10,150,rank:map,0.4074293009513366
0,0.025,8,110,rank:map,0.4074144206727352
0,0.01,6,110,rank:pairwise,0.4073925323077447
0,0.01,12,300,rank:pairwise,0.4073175531301797
0,0.4,8,110,rank:ndcg,0.40725323562126703
0,0.025,15,300,rank:ndcg,0.4071886785985441
0,0.05,30,500,rank:ndcg,0.4069632644282432
0,0.025,20,500,rank:ndcg,0.4069126695072386
0,0.025,10,110,rank:ndcg,0.4068771768515032
0,0.025,15,500,rank:ndcg,0.40681057618657335
0,0.1,10,300,rank:map,0.4067885083388445
0,0.025,20,500,rank:map,0.4066613788537747
0,0.01,8,300,rank:map,0.4065887036593704
0,0.01,12,300,rank:ndcg,0.4064656720384496
0,0.025,10,150,rank:map,0.4064529069350996
0,0.01,10,300,rank:map,0.4064109296939382
0,0.025,12,200,rank:ndcg,0.4064084971335317
0,0.025,30,500,rank:ndcg,0.40640129358818816
0,0.3,8,200,rank:ndcg,0.40638187813392623
0,0.3,8,150,rank:map,0.40637697703966297
0,0.01,12,200,rank:pairwise,0.4063200684201152
0,0.3,8,110,rank:pairwise,0.4063117819202015
0,0.025,12,200,rank:map,0.4062909646776177
0,0.01,12,500,rank:map,0.4062500052643561
0,0.05,20,500,rank:ndcg,0.40623072919142605
0,0.025,8,110,rank:ndcg,0.4061665058620832
0,0.1,10,300,rank:pairwise,0.4060917375965776
0,0.025,12,150,rank:ndcg,0.4060702304898727
0,0.01,10,300,rank:ndcg,0.4056796689288311
0,0.01,12,110,rank:pairwise,0.4055224933078952
0,0.05,12,110,rank:ndcg,0.4054119379912149
0,0.025,30,500,rank:map,0.4053412974881291
0,0.01,12,300,rank:map,0.4053335618523929
0,0.05,15,500,rank:map,0.4052138734095752
0,0.025,12,500,rank:pairwise,0.4050420991802463
0,0.05,12,300,rank:map,0.40503479663581055
0,0.01,10,200,rank:map,0.4050214018234282
0,0.05,30,300,rank:ndcg,0.40500100986015997
0,0.4,6,300,rank:map,0.4049987666234744
0,0.025,20,500,rank:pairwise,0.40479236268033136
0,0.05,30,500,rank:pairwise,0.404775144412608
0,0.05,20,300,rank:ndcg,0.4047672361466045
0,0.01,6,300,rank:ndcg,0.4047062138122209
0,0.025,30,500,rank:pairwise,0.4046759251075589
0,0.025,20,300,rank:ndcg,0.4045012055786105
0,0.025,12,110,rank:pairwise,0.4044852996145861
0,0.3,8,150,rank:pairwise,0.4043788570488275
0,0.025,15,150,rank:map,0.4043581460979305
0,0.05,20,500,rank:map,0.4043386481176181
0,0.025,15,200,rank:map,0.4042929089413901
0,0.01,12,200,rank:ndcg,0.4042640682120157
0,0.025,10,110,rank:map,0.4041752560108003
0,0.4,6,300,rank:pairwise,0.4040921959274773
0,0.05,12,150,rank:map,0.4040544657337733
0,0.01,8,200,rank:ndcg,0.4040091568076786
0,0.05,15,150,rank:map,0.4039909571028934
0,0.025,12,110,rank:map,0.4039563888313029
0,0.05,15,110,rank:map,0.4039268763611362
0,0.1,30,500,rank:map,0.4038858481028534
0,0.05,20,500,rank:pairwise,0.4037954042303225
0,0.025,15,500,rank:map,0.4037061182998713
0,0.025,15,200,rank:ndcg,0.4037060987569694
0,0.05,30,500,rank:map,0.4036809078581874
0,0.01,15,500,rank:map,0.4036180543191484
0,0.025,6,110,rank:ndcg,0.4036178842759047
0,0.025,12,110,rank:ndcg,0.4035453271287354
0,0.01,6,300,rank:map,0.4035353326119422
0,0.05,12,200,rank:map,0.4035145619112902
0,0.01,12,150,rank:ndcg,0.4033526847166419
0,0.1,10,500,rank:map,0.4033407996179821
0,0.01,15,300,rank:map,0.4032890470832308
0,0.05,15,200,rank:map,0.403029632398045
0,0.05,12,200,rank:pairwise,0.4029362983429325
0,0.01,12,200,rank:map,0.4028880400762612
0,0.025,12,150,rank:map,0.4028443713183374
0,0.01,8,200,rank:map,0.4027564645689588
0,0.025,15,300,rank:map,0.4027525653048525
0,0.05,12,110,rank:map,0.4027122919393485
0,0.025,20,300,rank:map,0.40264267892518185
0,0.05,30,300,rank:map,0.4025876317753224
0,0.05,12,300,rank:ndcg,0.4025790237043964
0,0.05,30,200,rank:ndcg,0.4024157256267424
0,0.025,15,110,rank:map,0.4023507652087976
